Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,normalized_solar_radiation,avg_solar_radiation
-13.25,132.25,0.8978783592644979,0.9586595408643576,0.11700109814411475,-0.0204259494807393,72.2,0.096275434,0.10424794570935703,497.4484
-13.25,132.5,0.8711456859971711,0.9561412671637496,0.1305896246373907,-0.0216687297652935,91.1,0.104706466,0.09672221968231187,499.36282
-13.25,132.75,0.8394625176803394,0.9551284397793409,0.16175054576559833,-0.022168564991582,113.5,0.12404033,0.09341650122415612,500.20374
-13.25,133.0,0.8057991513437057,0.9632708788444879,0.2425512021100505,-0.0181502318231477,137.3,0.17417328,0.09917057097626214,498.74
-13.25,133.25,0.7995756718528996,0.9750195540113907,0.26951757974250073,-0.0123522036487147,141.7,0.19090463,0.10908694013599862,496.21744
-13.25,133.5,0.7891089108910891,0.9886119799255937,0.26607657367199666,-0.0056442755385346,149.1,0.18876965,0.11853975709031062,493.8128
-13.25,133.75,0.7751060820367751,0.9916507771577203,0.21241877912599177,0.0041446143667036,159.0,0.15547755,0.1263486383527418,491.82635
-13.25,134.0,0.7555869872701556,0.9802532756279071,0.17845806806003717,0.0097693366480858,172.8,0.13440655,0.13752880838189818,488.9823
-13.25,134.25,0.731966053748232,0.9782483110258801,0.15851679173989375,0.0107587964030071,189.5,0.12203394,0.1446626456762533,487.16757
-13.25,134.5,0.7050919377652051,0.9713463726850625,0.14564540664048703,0.0141649364477156,208.5,0.11404786,0.16203024701726831,482.74954
-13.25,134.75,0.6758132956152758,0.9884308597727394,0.15169002961907163,0.0057336592123777,229.2,0.11779826,0.1805690724431226,478.03357
-13.25,135.0,0.6448373408769448,0.9845829141762867,0.15486057169052597,0.0076326390262693,251.1,0.11976543,0.19957097834556292,473.1998
-13.25,135.25,0.6123055162659123,0.9942753884330727,0.16688083570883974,-0.0028493559732894,274.1,0.12722343,0.22550493953163553,466.60263
-13.25,135.5,0.5787835926449787,0.9558908892114082,0.13092730412190842,-0.0217922924990749,297.8,0.10491598,0.24464820684271782,461.7329
-13.25,135.75,0.5445544554455446,0.9356371848325333,0.1278163073245432,-0.0317875938379161,322.0,0.102985755,0.2541760679931079,459.30917
-13.25,136.0,0.5096181046676096,0.911656773597649,0.2236735531475909,-0.0436220430842478,346.7,0.1624606,0.24253340714841376,462.27087
-13.25,141.75,0.3718528995756718,0.8883269060349609,0.2175688288489147,0.0551354458732974,444.1,0.15867291,0.20733846540240453,471.22388
-13.25,142.0,0.40113154172560117,0.9065631140231343,0.1963499844569831,0.0461357887878659,423.4,0.14550763,0.2671967667076429,455.99692
-13.25,142.25,0.42942008486562944,0.9001024885167656,0.21124041288449677,0.0493241388084633,403.4,0.15474643,0.28097400054712696,452.49222
-13.25,142.5,0.4567185289957567,0.9094054757667462,0.21886678527412634,0.0447330694823038,384.1,0.15947823,0.283247261820473,451.91394
-13.25,142.75,0.4833097595473833,0.9099932387090245,0.24973241535220636,0.0444430056197147,365.3,0.17862888,0.2995020155204292,447.779
-13.25,143.0,0.5110325318246111,0.9103564908374303,0.26338573006926996,0.0442637389326202,345.7,0.18710011,0.3268463280017885,440.82306
-13.25,143.25,0.5374823196605375,0.9217098230016977,0.2634795164950176,0.0386608144473506,327.0,0.1871583,0.3666272209632522,430.70346
-13.25,143.5,0.5622347949080622,0.938966122441481,0.390642514895046,0.0301447469829803,309.5,0.26605687,0.3691631958889774,430.05835
-13.5,130.0,0.8746817538896747,0.9541794177427451,0.1712438949896197,-0.0226369119692771,88.6,0.1299305,0.15622361881039182,484.22665
-13.5,130.25,0.8900990099009901,0.9504463589149484,0.1360955889302568,-0.0244791946056509,77.7,0.108122654,0.17448231592757446,479.58194
