Longitude,Latitude,avg_wind_speed
131.25,-14.0,4.5764184
131.5,-14.0,4.816766
131.75,-14.0,4.954302
132.0,-14.0,5.0219674
132.25,-14.0,5.256999
132.5,-14.0,5.435777
132.75,-14.0,5.2460027
133.0,-14.0,5.5139813
133.25,-14.0,5.5558147
133.5,-14.0,5.222128
133.75,-14.0,5.0462103
134.0,-14.0,5.065054
134.25,-14.0,5.077214
134.5,-14.0,5.2282424
134.75,-14.0,5.3468027
135.0,-14.0,4.9893136
135.25,-14.0,4.6975594
135.5,-14.0,4.6633267
135.75,-14.0,5.1071577
141.75,-14.0,4.7176466
142.0,-14.0,4.7144327
142.25,-14.0,4.913677
142.5,-14.0,5.099897
142.75,-14.0,5.261405
143.0,-14.0,5.388704
143.25,-14.0,4.9949665
143.5,-14.0,4.941624
126.25,-14.25,4.459015
126.5,-14.25,4.260522
126.75,-14.25,4.18432
127.0,-14.25,4.4844556
127.25,-14.25,4.860757
127.5,-14.25,5.0626245
129.5,-14.25,5.017112
129.75,-14.25,4.317189
130.0,-14.25,4.0997715
130.25,-14.25,4.2975554
130.5,-14.25,4.4850316
130.75,-14.25,4.575263
131.0,-14.25,4.6225514
131.25,-14.25,4.677313
131.5,-14.25,4.67257
131.75,-14.25,4.8598685
132.0,-14.25,5.076312
132.25,-14.25,5.3648114
132.5,-14.25,5.508336
132.75,-14.25,5.3494024
133.0,-14.25,5.5457606
133.25,-14.25,5.4914255
133.5,-14.25,5.149029
133.75,-14.25,5.0054398
134.0,-14.25,5.082451
134.25,-14.25,5.254174
134.5,-14.25,5.4119015
134.75,-14.25,5.3859653
135.0,-14.25,4.976783
135.25,-14.25,4.6833816
135.5,-14.25,4.973552
135.75,-14.25,5.593595
141.75,-14.25,4.761019
142.0,-14.25,4.73737
142.25,-14.25,5.005883
142.5,-14.25,5.2038445
142.75,-14.25,5.481499
143.0,-14.25,5.642795
143.25,-14.25,5.504282
143.5,-14.25,5.4227166
125.75,-14.5,4.149991
126.25,-14.5,4.2575397
126.5,-14.5,4.0443277
126.75,-14.5,3.938488
127.0,-14.5,4.3659983
127.25,-14.5,4.8790503
127.5,-14.5,4.9903865
127.75,-14.5,4.9486866
129.75,-14.5,4.7003136
130.0,-14.5,4.4259725
130.25,-14.5,4.6355057
130.5,-14.5,4.840468
130.75,-14.5,4.8630295
131.0,-14.5,4.9143286
131.25,-14.5,4.7705283
131.5,-14.5,4.660424
131.75,-14.5,4.7486606
132.0,-14.5,4.9820323
132.25,-14.5,5.171676
132.5,-14.5,5.344768
132.75,-14.5,5.3640957
133.0,-14.5,5.3207803
133.25,-14.5,5.306281
133.5,-14.5,5.070613
133.75,-14.5,4.9446344
134.0,-14.5,5.0555387
134.25,-14.5,5.2844534
134.5,-14.5,5.4043403
134.75,-14.5,5.3299966
135.0,-14.5,4.987216
135.25,-14.5,4.875573
135.5,-14.5,5.320878
141.75,-14.5,4.9024
142.0,-14.5,4.8404884
142.25,-14.5,5.076146
142.5,-14.5,5.336178
142.75,-14.5,5.554842
143.0,-14.5,5.745767
143.25,-14.5,5.64525
143.5,-14.5,5.2264466
143.75,-14.5,5.268709
144.0,-14.5,5.7877946
144.25,-14.5,5.943501
144.5,-14.5,6.3298383
125.25,-14.75,4.0578876
125.5,-14.75,3.7595913
125.75,-14.75,3.6550944
126.0,-14.75,3.81268
126.25,-14.75,4.262254
126.5,-14.75,4.258006
126.75,-14.75,4.090705
127.0,-14.75,4.4466944
127.25,-14.75,4.9753823
127.5,-14.75,5.106979
127.75,-14.75,4.9620132
128.0,-14.75,5.0144596
129.75,-14.75,5.212482
130.0,-14.75,4.783935
130.25,-14.75,4.8403707
130.5,-14.75,4.969688
130.75,-14.75,4.847826
131.0,-14.75,5.030837
131.25,-14.75,4.900994
131.5,-14.75,4.6636024
131.75,-14.75,4.685709
132.0,-14.75,4.917841
132.25,-14.75,5.092275
132.5,-14.75,5.3115587
132.75,-14.75,5.453894
133.0,-14.75,5.2373266
133.25,-14.75,5.180406
133.5,-14.75,5.1122203
133.75,-14.75,5.0792546
134.0,-14.75,5.133064
134.25,-14.75,5.2168374
134.5,-14.75,5.251763
134.75,-14.75,5.1895437
135.0,-14.75,4.956937
135.25,-14.75,5.130964
141.75,-14.75,5.144453
142.0,-14.75,5.024177
142.25,-14.75,5.187185
142.5,-14.75,5.4104033
142.75,-14.75,5.6072974
143.0,-14.75,5.7702465
