Latitude,Longitude,Mean Correlation,min_distance_to_line_km,avg_capacity_factor,avg_solar_radiation,score_km,score_wind_correlation,score_wind_capacity,score_solar_radiation
-13.0,142.25,0.0499462704307266,422.8,0.14964157,448.30762,12,51,10,75
-13.0,142.5,0.0432658853064779,403.9,0.15654707,447.65344,13,59,11,76
-13.0,142.75,0.0387044183200313,384.4,0.1783539,445.97153,15,65,15,77
-13.0,143.0,0.0389162134024358,365.6,0.18863893,439.64694,16,65,16,80
-13.0,143.25,0.0367917633726305,347.9,0.24190366,435.1837,18,67,25,82
-13.25,130.25,-0.0222473161649845,51.7,0.11676333,483.21957,70,81,5,48
-13.25,130.5,-0.029209819299701,47.8,0.084140286,483.05426,71,75,2,48
-13.25,130.75,-0.0302385532995685,37.7,0.08731482,480.55258,74,74,2,50
-13.25,131.0,-0.0331221305521293,11.2,0.08707664,483.4584,89,71,2,48
-13.25,131.25,-0.0330721005963693,8.4,0.087014385,488.31635,91,71,2,43
-13.25,131.5,-0.0341030452733061,26.6,0.09240691,492.5693,79,70,3,39
-13.25,131.75,-0.0309291583264157,39.1,0.100853115,495.03506,74,73,3,36
-13.25,132.0,-0.0248514515037337,54.0,0.098568514,496.7919,69,79,3,33
-13.25,132.25,-0.0204259494807393,72.2,0.096275434,497.4484,64,83,3,32
-13.25,132.5,-0.0216687297652935,91.1,0.104706466,499.36282,59,82,4,30
-13.25,132.75,-0.022168564991582,113.5,0.12404033,500.20374,54,81,6,29
-13.25,133.0,-0.0181502318231477,137.3,0.17417328,498.74,49,85,14,30
-13.25,133.25,-0.0123522036487147,141.7,0.19090463,496.21744,48,91,16,34
-13.25,133.5,-0.0056442755385346,149.1,0.18876965,493.8128,47,96,16,37
-13.25,133.75,0.0041446143667036,159.0,0.15547755,491.82635,45,97,11,40
-13.25,134.0,0.0097693366480858,172.8,0.13440655,488.9823,42,92,7,43
-13.25,134.25,0.0107587964030071,189.5,0.12203394,487.16757,40,92,5,44
-13.25,134.5,0.0141649364477156,208.5,0.11404786,482.74954,36,89,4,48
-13.25,134.75,0.0057336592123777,229.2,0.11779826,478.03357,33,96,5,52
-13.25,135.0,0.0076326390262693,251.1,0.11976543,473.1998,30,94,5,56
-13.25,135.25,-0.0028493559732894,274.1,0.12722343,466.60263,27,98,6,62
-13.25,135.5,-0.0217922924990749,297.8,0.10491598,461.7329,24,82,4,65
-13.25,135.75,-0.0317875938379161,322.0,0.102985755,459.30917,21,72,3,67
-13.25,136.0,-0.0436220430842478,346.7,0.1624606,462.27087,18,59,12,65
-13.25,141.75,0.0551354458732974,444.1,0.15867291,471.22388,10,45,11,58
-13.25,142.0,0.0461357887878659,423.4,0.14550763,455.99692,12,56,9,70
-13.25,142.25,0.0493241388084633,403.4,0.15474643,452.49222,13,52,11,72
-13.25,142.5,0.0447330694823038,384.1,0.15947823,451.91394,15,58,12,73
-13.25,142.75,0.0444430056197147,365.3,0.17862888,447.779,16,58,15,76
-13.25,143.0,0.0442637389326202,345.7,0.18710011,440.82306,18,58,16,80
-13.25,143.25,0.0386608144473506,327.0,0.1871583,430.70346,20,65,16,84
-13.25,143.5,0.0301447469829803,309.5,0.26605687,430.05835,22,74,30,84
-13.5,130.0,-0.0226369119692771,88.6,0.1299305,484.22665,60,81,6,47
-13.5,130.25,-0.0244791946056509,77.7,0.108122654,479.58194,63,79,4,51
-13.5,130.5,-0.0254248368221202,72.3,0.09271715,481.8849,64,78,3,49
-13.5,130.75,-0.0291250479740223,48.5,0.095932275,484.60754,71,75,3,47
-13.5,131.0,-0.0310376991368164,30.1,0.099498115,487.60123,77,73,3,44
-13.5,131.25,-0.0359804649770792,10.9,0.09661199,490.2347,89,68,3,41
-13.5,131.5,-0.0338202294450075,11.3,0.106181234,494.29117,89,70,4,37
-13.5,131.75,-0.0294689892103806,21.5,0.111559644,496.42865,82,74,4,34
-13.5,132.0,-0.0205319017238382,34.6,0.11167631,498.0726,76,83,4,31
-13.5,132.25,-0.0175553628865773,52.6,0.11636671,499.2842,69,86,5,30
-13.5,132.5,-0.0162942282545069,76.5,0.13060568,500.85678,63,87,6,28
-13.5,132.75,-0.013806224401508,102.1,0.13646686,501.98413,57,89,7,26
-13.5,133.0,-0.0085629674472979,110.1,0.17916882,500.93472,55,93,15,28
-13.5,133.25,-0.0020081441539029,115.4,0.19106483,498.04172,54,99,16,31
-13.5,133.5,0.005635530792088,123.2,0.16468066,495.053,52,96,12,35
-13.5,133.75,0.0185908018394998,135.0,0.13838033,493.15222,49,85,8,38
