Latitude,Longitude,min_distance_nature_land_km
-14.5,143.5,33.7
-14.5,143.75,6.6
-14.5,144.0,0.0
-14.5,144.25,8.4
-14.5,144.5,0.0
-14.5,144.75,5.3
-14.5,145.0,1.2
-14.75,125.0,25.3
-14.75,125.25,30.9
-14.75,125.5,43.4
-14.75,125.75,44.0
-14.75,126.0,55.5
-14.75,126.25,47.0
-14.75,126.5,27.1
-14.75,126.75,6.5
-14.75,127.0,0.0
-14.75,127.25,3.8
-14.75,127.5,31.0
-14.75,127.75,58.2
-14.75,128.0,37.2
-14.75,128.25,19.0
-14.75,128.5,10.9
-14.75,128.75,27.8
-14.75,129.0,53.1
-14.75,129.25,79.0
-14.75,129.5,96.4
-14.75,129.75,111.8
-14.75,130.0,98.0
-14.75,130.25,90.4
-14.75,130.5,89.7
-14.75,130.75,74.0
-14.75,131.0,59.6
-14.75,131.25,32.6
-14.75,131.5,6.5
-14.75,131.75,8.1
-14.75,132.0,32.1
-14.75,132.25,26.4
-14.75,132.5,18.0
-14.75,132.75,35.3
-14.75,133.0,19.2
-14.75,133.25,17.0
-14.75,133.5,32.2
-14.75,133.75,57.0
-14.75,134.0,83.2
-14.75,134.25,109.9
-14.75,134.5,136.8
-14.75,134.75,163.8
-14.75,135.0,190.8
-14.75,135.25,188.1
-14.75,135.5,169.4
-14.75,135.75,146.8
-14.75,141.25,102.2
-14.75,141.5,83.5
-14.75,141.75,70.4
-14.75,142.0,66.5
-14.75,142.25,72.4
-14.75,142.5,82.4
-14.75,142.75,81.3
-14.75,143.0,80.5
-14.75,143.25,57.9
-14.75,143.5,30.8
-14.75,143.75,3.8
-14.75,144.0,0.0
-14.75,144.25,4.9
-14.75,144.5,15.4
-14.75,144.75,0.0
-14.75,145.0,5.9
-14.75,145.25,14.9
-15.0,125.0,2.1
-15.0,125.25,11.0
-15.0,125.5,15.9
-15.0,125.75,17.6
-15.0,126.0,38.2
-15.0,126.25,40.6
-15.0,126.5,13.5
-15.0,126.75,0.0
-15.0,127.0,0.0
-15.0,127.25,3.8
-15.0,127.5,30.9
-15.0,127.75,48.0
-15.0,128.0,22.9
-15.0,128.25,0.0
-15.0,128.5,0.0
-15.0,128.75,19.7
-15.0,129.0,44.8
-15.0,129.25,57.9
-15.0,129.5,78.5
-15.0,129.75,91.3
-15.0,130.0,73.8
-15.0,130.25,63.4
-15.0,130.5,63.7
-15.0,130.75,51.1
-15.0,131.0,39.0
-15.0,131.25,38.6
-15.0,131.5,19.8
-15.0,131.75,27.6
-15.0,132.0,46.6
