Latitude,Longitude,normalized_km,normalized_corr,normalized_wind_capacity_factor,min_distance_to_line_km
-12.5,135.25,0.5407355021216407,0.9959775102065993,0.1521006172107404,324.7
-12.5,135.5,0.512022630834512,0.9909207475187987,0.1569385623418035,345.0
-12.5,135.75,0.48189533239038185,0.9772819636395897,0.15203042647622741,366.3
-12.5,136.0,0.45077793493635077,0.9622338219544804,0.15734714494440832,388.3
-12.5,136.25,0.4186704384724187,0.9586064908241364,0.1527971010926865,411.0
-12.5,136.5,0.3857142857142857,0.9503792211335079,0.1630556647080126,434.3
-12.5,136.75,0.35219236209335214,0.9251996483821104,0.2565358718927516,458.0
-12.5,141.75,0.2923620933521923,0.8844614958366309,0.2689275262888799,500.3
-12.5,142.0,0.3190947666195191,0.8938756481739839,0.20472531051873252,481.4
-12.5,142.25,0.34667609618104667,0.9002123237854452,0.19095983568192712,461.9
-12.5,142.5,0.3734087694483734,0.9074442882661021,0.21433555834147316,443.0
-12.5,142.75,0.39900990099009903,0.9159423913575383,0.23936675082989703,424.9
-12.5,143.0,0.42305516265912313,0.9235087851343896,0.314612475375261,407.9
-12.5,143.25,0.44540311173974534,0.9343126567074115,0.5560805933527243,392.1
-12.75,130.5,0.9916548797736916,0.9753116449724347,0.10921167050237944,5.9
-12.75,130.75,0.9977369165487977,0.9477005263975061,0.08111558468296794,1.6
-12.75,131.0,0.9947666195190947,0.9526216897701661,0.08024495847514536,3.7
-12.75,131.25,0.9823196605374823,0.9600589205977649,0.07662776801996735,12.5
-12.75,131.5,0.9987270155586987,0.9760204343610382,0.07888349353781549,0.9
-12.75,131.75,0.9719943422913719,0.9822428333198386,0.08759565453884993,19.8
-12.75,132.0,0.94002828854314,0.9951204695432346,0.09322967380849036,42.4
-12.75,132.25,0.902970297029703,0.9937019321848295,0.09142146056032913,68.6
-12.75,132.5,0.8647807637906648,0.9981899063859789,0.09144752219470513,95.6
-12.75,132.75,0.8263083451202263,0.9916204484207544,0.10648510134692683,122.8
-12.75,133.0,0.7875530410183875,0.9751817338942956,0.14585162717965883,150.2
-12.75,133.25,0.7487977369165488,0.9748765224336654,0.19519587471501557,177.6
-12.75,133.5,0.7148514851485148,0.9778054697457869,0.2344466785101349,201.6
-12.75,133.75,0.7038189533239039,0.9816537935397595,0.2337811800902097,209.4
-12.75,134.0,0.6888260254596889,0.9785725188831794,0.212090502459962,220.0
-12.75,134.25,0.6697312588401697,0.9760299827981254,0.1962240279494702,233.5
-12.75,134.5,0.6475247524752475,0.9833378956798428,0.1856211171327795,249.2
-12.75,134.75,0.6226308345120226,0.9909340954009359,0.15378216479126963,266.8
-12.75,135.0,0.5956152758132957,0.9986101070301984,0.13896837400844225,285.9
-12.75,135.25,0.5666195190947667,0.9997478477154669,0.15575354933591976,306.4
-12.75,135.5,0.5363507779349364,0.9775523271875636,0.16302428759619866,327.8
-12.75,135.75,0.5048090523338048,0.9630535056763644,0.14689228741984986,350.1
-12.75,136.0,0.4724186704384724,0.9586483714452164,0.12124216737886596,373.0
-12.75,136.25,0.43903818953323903,0.9531016221932157,0.12422396164944595,396.6
-12.75,136.5,0.4052333804809052,0.9299683276333778,0.20629456904131646,420.5
-12.75,142.0,0.34710042432814703,0.8923676456252493,0.2266302673258688,461.6
-12.75,142.25,0.37397454031117394,0.8989041220379811,0.1966682845295195,442.6
-12.75,142.5,0.4014144271570015,0.9134926200834483,0.21100853364283484,423.2
-12.75,142.75,0.42814710042432813,0.9211966944783451,0.24422203170241644,404.3
-12.75,143.0,0.45346534653465354,0.9256482586786365,0.301844547066862,386.4
-12.75,143.25,0.47708628005657705,0.9326033782992915,0.4604839235802479,369.7
