Latitude,Longitude,Mean Distance
-15.25,126.0,30.609320004088453
-15.25,126.25,29.46704228699876
-15.25,126.5,29.220934247102686
-15.25,126.75,30.56515646379172
-15.25,127.0,30.802190346089436
-15.25,127.25,28.273742081000254
-15.25,127.5,26.18564459243873
-15.25,127.75,26.230540527613503
-15.25,128.0,27.188612845060685
-15.25,128.25,29.684890488925483
-15.25,128.5,32.723685181980656
-15.25,128.75,33.60467782901568
-15.25,129.0,34.500405442214934
-15.25,129.25,35.50005195601591
-15.25,129.5,35.42175920835765
-15.25,129.75,34.87690976473187
-15.25,130.0,33.03201878482059
-15.25,130.25,32.19737001287097
-15.25,130.5,32.31419686086
-15.25,130.75,34.974131986918565
-15.25,131.0,36.48995099736749
-15.25,131.25,36.088129679469674
-15.25,131.5,36.507504963885246
-15.25,131.75,37.06602955109453
-15.25,132.0,36.508815317774996
-15.25,132.25,34.86201479684411
-15.25,132.5,33.63685822176707
-15.25,132.75,32.777211160369625
-15.25,133.0,31.93443238782189
-15.25,133.25,31.1110730176707
-15.25,133.5,31.346133167746096
-15.25,133.75,31.209613507239908
-15.25,134.0,31.094424795791515
-15.25,134.25,30.77676757524537
-15.25,134.5,31.75372339423031
-15.25,134.75,31.820831767618927
-15.25,135.0,31.07180289846839
-15.25,135.25,31.425917110022635
-15.25,135.5,31.796445336968905
-15.25,135.75,32.18970357507373
-15.25,136.0,31.71506720400847
-15.25,136.25,31.320387569949414
-15.25,141.25,32.72106306678794
-15.25,141.5,30.908832254684658
-15.25,141.75,30.61100330123177
-15.25,142.0,30.85753864609007
-15.25,142.25,31.077063630492823
-15.25,142.5,30.97944120067519
-15.25,142.75,30.883294878906767
-15.25,143.0,30.64879674356076
-15.25,143.25,30.38495978221539
-15.25,143.5,30.75283684047904
-15.25,143.75,31.454637014759022
-15.25,144.0,32.679982542334685
-15.25,144.25,33.935480364779366
-15.25,144.5,35.84646918744614
-15.25,144.75,36.682257722865614
-15.25,145.0,36.81998069841024
-15.25,145.25,37.43953945796017
-15.25,145.5,37.181751597878474
-15.5,124.5,25.697147085912917
-15.5,124.75,26.3266627207545
-15.5,125.0,27.549909859293393
-15.5,125.25,28.427034555059354
-15.5,125.5,29.805824914703475
-15.5,125.75,30.256433602839373
-15.5,126.0,30.502103049256963
-15.5,126.25,29.3651952954008
-15.5,126.5,29.394098499810376
-15.5,126.75,30.139245412701232
-15.5,127.0,29.07191873394898
-15.5,127.25,26.880653460434107
-15.5,127.5,26.084774492375317
-15.5,127.75,26.437780978255926
-15.5,128.0,29.49634074978807
-15.5,128.25,32.18370870246128
-15.5,128.5,33.755320104368884
-15.5,128.75,34.716320242321885
-15.5,129.0,35.72438108076927
-15.5,129.25,36.01430466978469
-15.5,129.5,35.844716703164856
-15.5,129.75,33.781755767931436
-15.5,130.0,32.511013461470775
-15.5,130.25,34.629789983693215
-15.5,130.5,35.48763575823519
-15.5,130.75,36.106226596014196
-15.5,131.0,34.98030248806708
-15.5,131.25,34.82358317081789
-15.5,131.5,36.165205449880474
-15.5,131.75,36.76140365704817
-15.5,132.0,36.397860783927854
-15.5,132.25,35.07017766283316
-15.5,132.5,34.768861217367544
-15.5,132.75,33.765173342086484
-15.5,133.0,32.59126504834059
-15.5,133.25,31.773079442189328
-15.5,133.5,31.579908654727095
-15.5,133.75,31.706694165464487
-15.5,134.0,31.140413780509572
-15.5,134.25,31.65110613657777
-15.5,134.5,32.129823145997634
-15.5,134.75,31.59000296935098
-15.5,135.0,31.063356401987868
-15.5,135.25,32.008241830488444
-15.5,135.5,33.52723052857731
-15.5,135.75,33.78404384281279
-15.5,136.0,33.153969056965146
-15.5,136.25,32.36080542904286
-15.5,136.5,31.997255737519364
-15.5,141.25,32.3854186769478
-15.5,141.5,31.008671740180176
-15.5,141.75,30.428528284380715
-15.5,142.0,30.128566249271245
-15.5,142.25,30.151433902887128
-15.5,142.5,29.925403826875055
-15.5,142.75,29.635042664093344
-15.5,143.0,29.35155315730289
-15.5,143.25,29.166116835193503
-15.5,143.5,29.28880718946168
-15.5,143.75,29.257559791936202
-15.5,144.0,30.085156331959723
-15.5,144.25,32.06363464096831
-15.5,144.5,34.88940725337802
-15.5,144.75,35.820595981215895
-15.5,145.0,36.128641677707726
-15.5,145.25,37.10789089058262
-15.5,145.5,37.005141604759594
-15.75,124.25,25.724191541336342
-15.75,124.5,26.469521496439327
-15.75,124.75,27.634559351913857
-15.75,125.0,28.021653054881476
-15.75,125.25,29.291888043741142
-15.75,125.5,30.231438269173474
-15.75,125.75,30.843432400081188
-15.75,126.0,30.21368888907783
-15.75,126.25,29.468527057716983
-15.75,126.5,29.673397373768868
-15.75,126.75,29.271783761214554
-15.75,127.0,28.277209911048743
-15.75,127.25,28.17210620479309
-15.75,127.5,27.28399451974093
-15.75,127.75,28.48916444560439
-15.75,128.0,31.542405393382275
-15.75,128.25,33.30506050042351
-15.75,128.5,33.92023866767013
-15.75,128.75,34.84331453109529
-15.75,129.0,35.4718995787031
-15.75,129.25,35.85288691036075
-15.75,129.5,35.11844167803654
-15.75,129.75,33.30621771741117
-15.75,130.0,36.343998487885166
-15.75,130.25,38.02500884563783
-15.75,130.5,37.3701629505475
-15.75,130.75,35.471269343383064
-15.75,131.0,33.848278705190474
-15.75,131.25,34.78983728056525
-15.75,131.5,35.90569310923148
-15.75,131.75,36.827182067243115
-15.75,132.0,36.3744626113764
-15.75,132.25,36.0900391430804
-15.75,132.5,35.657994833114735
-15.75,132.75,34.64937779055622
-15.75,133.0,33.41327488175186
-15.75,133.25,32.490839464186706
-15.75,133.5,32.45999849149549
-15.75,133.75,32.014423470842246
-15.75,134.0,32.3078339925457
-15.75,134.25,32.170024539485226
-15.75,134.5,32.011982119198635
