Longitude,Latitude,avg_solar_radiation
125.75,-14.25,510.84055
126.0,-14.25,505.963
126.25,-14.25,500.22324
126.5,-14.25,493.84128
126.75,-14.25,494.55908
127.0,-14.25,497.47812
127.25,-14.25,503.11047
127.5,-14.25,512.58954
127.75,-14.25,519.6508
128.0,-14.25,526.829
129.25,-14.25,515.66736
129.5,-14.25,507.26013
129.75,-14.25,495.45673
130.0,-14.25,482.6929
130.25,-14.25,478.26248
130.5,-14.25,482.70615
130.75,-14.25,490.27667
131.0,-14.25,494.36432
131.25,-14.25,498.75565
131.5,-14.25,502.29425
131.75,-14.25,505.01022
132.0,-14.25,506.60712
132.25,-14.25,507.39346
132.5,-14.25,505.32584
132.75,-14.25,504.84897
133.0,-14.25,504.529
133.25,-14.25,503.97256
133.5,-14.25,502.46857
133.75,-14.25,500.3924
134.0,-14.25,498.05878
134.25,-14.25,494.98718
134.5,-14.25,491.71533
134.75,-14.25,488.28564
135.0,-14.25,486.80396
135.25,-14.25,489.44156
135.5,-14.25,493.9631
135.75,-14.25,494.78796
136.0,-14.25,496.60303
141.25,-14.25,503.41263
141.5,-14.25,495.89462
141.75,-14.25,485.68512
142.0,-14.25,472.03894
142.25,-14.25,469.35345
142.5,-14.25,468.44583
142.75,-14.25,464.92975
143.0,-14.25,456.48776
143.25,-14.25,447.54617
143.5,-14.25,445.7778
143.75,-14.25,455.48218
144.0,-14.25,474.66818
144.25,-14.25,487.13876
144.5,-14.25,489.98163
144.75,-14.25,488.82596
125.25,-14.5,510.70215
125.5,-14.5,509.2506
125.75,-14.5,507.67117
126.0,-14.5,500.1797
126.25,-14.5,497.00397
126.5,-14.5,490.14267
126.75,-14.5,488.00757
127.0,-14.5,490.23807
127.25,-14.5,497.11896
127.5,-14.5,508.78857
127.75,-14.5,520.4403
128.0,-14.5,525.4602
128.25,-14.5,525.67126
129.5,-14.5,506.56912
129.75,-14.5,495.5724
130.0,-14.5,486.36508
130.25,-14.5,481.67035
130.5,-14.5,485.18283
130.75,-14.5,491.87903
131.0,-14.5,496.40286
131.25,-14.5,501.0481
131.5,-14.5,504.947
131.75,-14.5,506.71375
132.0,-14.5,508.26495
132.25,-14.5,508.18347
132.5,-14.5,506.3075
132.75,-14.5,504.89877
133.0,-14.5,504.59717
133.25,-14.5,503.91486
133.5,-14.5,504.25235
133.75,-14.5,501.7239
134.0,-14.5,499.34418
134.25,-14.5,496.3172
134.5,-14.5,492.8963
134.75,-14.5,489.52045
135.0,-14.5,489.44974
135.25,-14.5,495.36285
135.5,-14.5,500.16315
135.75,-14.5,502.9244
141.25,-14.5,504.90826
141.5,-14.5,498.12653
141.75,-14.5,488.59286
142.0,-14.5,475.92883
142.25,-14.5,473.53036
142.5,-14.5,472.31924
142.75,-14.5,469.24606
143.0,-14.5,462.3097
143.25,-14.5,454.3364
143.5,-14.5,452.24683
143.75,-14.5,461.32208
144.0,-14.5,469.4489
144.25,-14.5,482.89792
144.5,-14.5,484.70987
144.75,-14.5,481.72913
145.0,-14.5,478.4533
125.0,-14.75,509.74146
125.25,-14.75,507.95325
125.5,-14.75,506.4905
125.75,-14.75,501.4231
126.0,-14.75,497.31827
126.25,-14.75,494.34085
126.5,-14.75,491.9797
126.75,-14.75,492.0442
127.0,-14.75,494.19467
127.25,-14.75,499.4306
127.5,-14.75,507.91678
127.75,-14.75,517.83154
128.0,-14.75,523.96735
128.25,-14.75,518.94415
128.5,-14.75,516.6534
128.75,-14.75,514.5539
129.0,-14.75,513.4304
129.25,-14.75,510.14258
129.5,-14.75,503.6487
129.75,-14.75,495.67023
130.0,-14.75,490.78
130.25,-14.75,488.8343
130.5,-14.75,491.73563
130.75,-14.75,496.83264
131.0,-14.75,500.48953
131.25,-14.75,503.5551
131.5,-14.75,505.8205
131.75,-14.75,506.82617
132.0,-14.75,507.30142
132.25,-14.75,506.03296
132.5,-14.75,505.12268
132.75,-14.75,505.40878
133.0,-14.75,504.60046
133.25,-14.75,503.8605
133.5,-14.75,503.6241
133.75,-14.75,501.38074
134.0,-14.75,498.91223
134.25,-14.75,497.2161
134.5,-14.75,494.46863
134.75,-14.75,491.51773
135.0,-14.75,490.93262
135.25,-14.75,497.13745
135.5,-14.75,502.4486
135.75,-14.75,506.6459
141.25,-14.75,505.75446
141.5,-14.75,499.15894
141.75,-14.75,490.9184
142.0,-14.75,478.4648
142.25,-14.75,475.67853
142.5,-14.75,475.39487
142.75,-14.75,473.04456
143.0,-14.75,466.91614
143.25,-14.75,460.74612
143.5,-14.75,457.38406
143.75,-14.75,460.86035
144.0,-14.75,465.668
144.25,-14.75,467.09143
144.5,-14.75,465.45447
144.75,-14.75,463.2242
145.0,-14.75,462.3087
145.25,-14.75,465.26535
125.0,-15.0,505.99298
125.25,-15.0,500.7929
125.5,-15.0,496.2473
125.75,-15.0,491.87952
126.0,-15.0,489.35922
126.25,-15.0,492.43442
126.5,-15.0,497.2152
126.75,-15.0,498.60135
127.0,-15.0,500.94562
127.25,-15.0,504.18292
127.5,-15.0,508.13638
127.75,-15.0,514.9329
128.0,-15.0,517.69495
128.25,-15.0,510.7922
128.5,-15.0,511.93015
128.75,-15.0,511.89377
129.0,-15.0,508.83105
129.25,-15.0,509.01877
129.5,-15.0,504.76575
129.75,-15.0,498.3971
130.0,-15.0,497.73297
130.25,-15.0,495.7965
130.5,-15.0,497.89822
130.75,-15.0,501.43964
131.0,-15.0,502.925
131.25,-15.0,505.44498
131.5,-15.0,506.61746
131.75,-15.0,506.66916
132.0,-15.0,505.43597
132.25,-15.0,503.53534
132.5,-15.0,504.2969
132.75,-15.0,504.81934
133.0,-15.0,504.92227
133.25,-15.0,503.15677
133.5,-15.0,502.85748
133.75,-15.0,501.28052
134.0,-15.0,498.66434
134.25,-15.0,497.60034
134.5,-15.0,495.20328
134.75,-15.0,492.49268
135.0,-15.0,492.22623
135.25,-15.0,498.96576
135.5,-15.0,503.0121
135.75,-15.0,506.99606
136.0,-15.0,507.7599
141.25,-15.0,505.4119
141.5,-15.0,499.07123
141.75,-15.0,491.3173
142.0,-15.0,479.79254
142.25,-15.0,477.9953
142.5,-15.0,478.13522
142.75,-15.0,476.71512
143.0,-15.0,471.97614
143.25,-15.0,466.05334
143.5,-15.0,461.92117
143.75,-15.0,457.78403
144.0,-15.0,456.1827
144.25,-15.0,451.5434
144.5,-15.0,444.49017
144.75,-15.0,441.52484
145.0,-15.0,448.8809
145.25,-15.0,458.2659
145.5,-15.0,466.94067
124.75,-15.25,503.54105
125.0,-15.25,499.48605
125.25,-15.25,495.33948
125.5,-15.25,492.0029
125.75,-15.25,488.32816
126.0,-15.25,488.4655
126.25,-15.25,493.33652
126.5,-15.25,499.12402
126.75,-15.25,502.67484
127.0,-15.25,504.93433
127.25,-15.25,507.69547
127.5,-15.25,510.791
127.75,-15.25,512.83545
128.0,-15.25,512.5572
128.25,-15.25,510.87936
128.5,-15.25,510.0711
128.75,-15.25,508.8732
129.0,-15.25,508.4583
129.25,-15.25,507.6025
129.5,-15.25,506.79254
129.75,-15.25,503.24966
130.0,-15.25,500.92548
130.25,-15.25,500.66434
130.5,-15.25,501.65073
130.75,-15.25,503.36594
131.0,-15.25,504.7297
131.25,-15.25,506.17865
131.5,-15.25,507.1634
131.75,-15.25,506.65103
132.0,-15.25,505.03485
132.25,-15.25,504.12576
132.5,-15.25,504.56076
