Longitude,Latitude,avg_capacity_factor
144.5,-15.25,0.20513037
144.75,-15.25,0.23611231
145.0,-15.25,0.26971224
145.25,-15.25,0.42194676
145.5,-15.25,0.5470226
124.5,-15.5,0.111164644
124.75,-15.5,0.07374873
125.0,-15.5,0.055142462
125.25,-15.5,0.05800966
125.5,-15.5,0.06897064
125.75,-15.5,0.09056695
126.0,-15.5,0.12166444
126.25,-15.5,0.13496295
126.5,-15.5,0.1367265
126.75,-15.5,0.1504355
127.0,-15.5,0.17503838
127.25,-15.5,0.20262556
127.5,-15.5,0.1696758
127.75,-15.5,0.123082854
128.0,-15.5,0.09542661
128.25,-15.5,0.11879902
128.5,-15.5,0.12941979
128.75,-15.5,0.13442
129.0,-15.5,0.13279413
129.25,-15.5,0.14273183
129.5,-15.5,0.15031208
129.75,-15.5,0.13001765
130.0,-15.5,0.12249504
130.25,-15.5,0.14849705
130.5,-15.5,0.14699364
130.75,-15.5,0.14108276
131.0,-15.5,0.14669839
131.25,-15.5,0.15653962
131.5,-15.5,0.17831607
131.75,-15.5,0.18293165
132.0,-15.5,0.17475514
132.25,-15.5,0.1624219
132.5,-15.5,0.16637944
132.75,-15.5,0.17968668
133.0,-15.5,0.17756014
133.25,-15.5,0.16714963
133.5,-15.5,0.15953054
133.75,-15.5,0.16272208
134.0,-15.5,0.15986802
134.25,-15.5,0.16348672
134.5,-15.5,0.17147951
134.75,-15.5,0.18199433
135.0,-15.5,0.1621951
135.25,-15.5,0.14127067
135.5,-15.5,0.13677986
135.75,-15.5,0.14283821
136.0,-15.5,0.15480216
136.25,-15.5,0.19843087
136.5,-15.5,0.25296408
141.25,-15.5,0.25500587
141.5,-15.5,0.17711245
141.75,-15.5,0.13142423
142.0,-15.5,0.13300465
142.25,-15.5,0.15395573
142.5,-15.5,0.16862082
142.75,-15.5,0.18754655
143.0,-15.5,0.1957435
143.25,-15.5,0.20468445
143.5,-15.5,0.18770216
143.75,-15.5,0.16068915
144.0,-15.5,0.14706463
144.25,-15.5,0.15175255
144.5,-15.5,0.19667268
144.75,-15.5,0.21518092
145.0,-15.5,0.23399462
145.25,-15.5,0.38593104
145.5,-15.5,0.54832417
124.25,-15.75,0.16036904
124.5,-15.75,0.10236468
124.75,-15.75,0.069697805
125.0,-15.75,0.06377365
125.25,-15.75,0.07029755
125.5,-15.75,0.07851934
125.75,-15.75,0.10197571
126.0,-15.75,0.13363534
126.25,-15.75,0.1402593
126.5,-15.75,0.14361542
