Latitude,Longitude,normalized_km,normalized_corr
-13.0,143.5,0.5311173974540311,0.7775655763664129
-13.0,143.75,0.552050919377652,0.786279559383654
-13.25,130.0,0.9052333804809052,0.8580140158043945
-13.25,130.25,0.9268741159830268,0.860196648752861
-13.25,130.5,0.9323903818953324,0.871808505909474
-13.25,130.75,0.9466760961810466,0.8735241981005554
-13.25,131.0,0.9841584158415841,0.8783333431032827
-13.25,131.25,0.9881188118811881,0.8782499046202261
-13.25,131.5,0.9623762376237623,0.8799692837132523
-13.25,131.75,0.9446958981612447,0.8746759687738644
-13.25,132.0,0.9236209335219236,0.8645397487823987
-13.25,132.25,0.8978783592644979,0.85715902717366
-13.25,132.5,0.8711456859971711,0.8592316994385157
-13.25,132.75,0.8394625176803394,0.8600653098710289
-13.25,133.0,0.8057991513437057,0.8533636524560568
-13.25,133.25,0.7995756718528996,0.8436938722564856
-13.25,133.5,0.7891089108910891,0.8325065878093365
-13.25,133.75,0.7751060820367751,0.8161809662473627
-13.25,134.0,0.7555869872701556,0.8068002204992765
-13.25,134.25,0.731966053748232,0.8051500287343242
-13.25,134.5,0.7050919377652051,0.7994693689357868
-13.25,134.75,0.6758132956152758,0.8135308041711095
-13.25,135.0,0.6448373408769448,0.8103637417058516
-13.25,135.25,0.6123055162659123,0.8278453034798506
-13.25,135.5,0.5787835926449787,0.8594377737176634
-13.25,135.75,0.5445544554455446,0.8761076421741971
-13.25,136.0,0.5096181046676096,0.8958447872090606
-13.25,136.25,0.4741159830268741,0.9000924894592931
-13.25,136.5,0.4381895332390382,0.8962760768188729
-13.25,141.25,0.31145685997171146,0.7605110374189181
-13.25,141.5,0.3421499292786421,0.7352217612986978
-13.25,141.75,0.3718528995756718,0.7311399629910529
-13.25,142.0,0.40113154172560117,0.7461493253586559
-13.25,142.25,0.42942008486562944,0.7408318893319691
-13.25,142.5,0.4567185289957567,0.7484887392004672
-13.25,142.75,0.4833097595473833,0.7489724991462093
-13.25,143.0,0.5110325318246111,0.7492714748340049
-13.25,143.25,0.5374823196605375,0.7586158668613256
-13.25,143.5,0.5622347949080622,0.7728187127371537
-13.25,143.75,0.5847241867043846,0.7933096390502132
-13.5,129.75,0.8504950495049505,0.8511067550838207
-13.5,130.0,0.8746817538896747,0.8608464051322446
-13.5,130.25,0.8900990099009901,0.8639189097188515
-13.5,130.5,0.8977369165487977,0.8654960238869088
-13.5,130.75,0.9314002828854314,0.8716671267954238
-13.5,131.0,0.9574257425742574,0.8748569899327278
-13.5,131.25,0.9845827439886846,0.8831003888634279
-13.5,131.5,0.984016973125884,0.879497611825098
-13.5,131.75,0.9695898161244696,0.8722407418343813
-13.5,132.0,0.9510608203677511,0.8573357311964062
-13.5,132.25,0.9256011315417256,0.8523715476074544
-13.5,132.5,0.8917963224893918,0.8502682645037326
-13.5,132.75,0.8555869872701556,0.8461188451372876
-13.5,133.0,0.8442715700141443,0.8373742959989001
-13.5,133.25,0.8367751060820368,0.8264423552446871
-13.5,133.5,0.8257425742574257,0.8136944598531768
-13.5,133.75,0.809052333804809,0.792088041311309
-13.5,134.0,0.7865629420084865,0.7833016962044627
-13.5,134.25,0.7598302687411598,0.7749433096390119
-13.5,134.5,0.7302687411598303,0.7779746675256224
-13.5,134.75,0.6985855728429986,0.7936954363288024
-13.5,135.0,0.6654879773691655,0.8101657850968829
-13.5,135.25,0.6312588401697312,0.8303146095040996
-13.5,135.5,0.5963224893917963,0.857991851584073
-13.5,135.75,0.5606789250353607,0.8796368697212413
-13.5,136.0,0.5246110325318245,0.8985841406867624
-13.5,136.25,0.4881188118811881,0.9034053549913352
-13.5,141.25,0.3495049504950495,0.769077633525001
-13.5,141.5,0.36562942008486565,0.7382436239383856
-13.5,141.75,0.39646393210749653,0.7296813162807743
-13.5,142.0,0.4265912305516266,0.744045633037627
-13.5,142.25,0.4557284299858557,0.7390922365413153
-13.5,142.5,0.48415841584158414,0.7406087867954687
-13.5,142.75,0.5113154172560113,0.7418676043106815
-13.5,143.0,0.538048090523338,0.7434502870215236
-13.5,143.25,0.5657708628005658,0.7518676182596807
-13.5,143.5,0.5920792079207922,0.7670606139844797
-13.5,143.75,0.6164073550212164,0.7921983159141159
-13.75,126.75,0.6466760961810467,0.8247365003652702
-13.75,127.0,0.6693069306930692,0.8274681101684778
-13.75,127.25,0.688967468175389,0.836065273386817
-13.75,127.5,0.7048090523338049,0.8407154461942326
-13.75,129.5,0.7958981612446959,0.8436572197049217
-13.75,129.75,0.8210749646393211,0.8454769278380737
-13.75,130.0,0.8405940594059406,0.8639522967439812
-13.75,130.25,0.8524752475247525,0.8707220648589787
-13.75,130.5,0.8769448373408769,0.8723921882067759
-13.75,130.75,0.9031117397454032,0.8745988658467416
-13.75,131.0,0.9316831683168317,0.8710650327061545
-13.75,131.25,0.9613861386138614,0.8641860417124163
-13.75,131.5,0.9809052333804809,0.8568652665335506
-13.75,131.75,0.9992927864214993,0.8374006487444692
-13.75,132.0,0.978076379066478,0.8297498674950671
-13.75,132.25,0.9401697312588402,0.8271178594782898
-13.75,132.5,0.9062234794908062,0.8269268830590113
-13.75,132.75,0.8813295615275814,0.813075626579495
-13.75,133.0,0.8827439886845827,0.8074108474393341
-13.75,133.25,0.8732673267326733,0.8002306223231459
-13.75,133.5,0.8613861386138614,0.7812485475507353
-13.75,133.75,0.8408769448373409,0.7676335852215955
-13.75,134.0,0.8145685997171146,0.7578375935245574
